%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:05:04

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
2.0,0.0,2297900.75,0.0;
49.0,0.0,2297900.75,0.0;
91.0,0.0,2297900.75,0.0;
134.0,0.0,2297900.75,0.0;
177.0,0.0,2297900.75,0.0;
218.0,0.0,2297900.75,0.0;
259.0,0.0,2297900.75,0.0;
302.0,0.0,2297900.75,0.0;
343.0,0.0,2297900.75,0.0;
384.0,0.0,2297900.75,0.0;
425.0,0.0,2297900.75,0.0;
467.0,0.0,2297900.75,0.0;
508.0,0.0,2297900.75,0.0;
550.0,0.0,2297900.75,0.0;
590.0,0.0,2297900.75,0.0;
630.0,0.0,2297900.75,0.0;
670.0,0.0,2297900.75,0.0;
712.0,0.0,2297900.75,0.0;
753.0,0.0,2297900.75,0.0;
793.0,0.0,2297900.75,0.0;
833.0,0.0,2297900.75,0.0;
873.0,0.0,2297900.75,0.0;
914.0,0.0,2297900.75,0.0;
954.0,0.0,2297900.75,0.0;
994.0,0.0,2297900.75,0.0;
1034.0,0.0,2297900.75,0.0;
1075.0,0.0,2297900.75,0.0;
1115.0,0.0,2297900.75,0.0;
1154.0,0.0,2297900.75,0.0;
1193.0,0.0,2297900.75,0.0;
1235.0,0.0,2297900.75,0.0;
1274.0,0.0,2297900.75,0.0;
1315.0,0.0,2297900.75,0.0;
1354.0,0.0,2297901.0,250.00003051757812;
1394.0,0.0,2297901.0,0.0;
1434.0,0.0,2297901.0,0.0;
1476.0,0.0,2297901.0,0.0;
1518.0,0.0,2297901.0,0.0;
1558.0,0.0,2297901.0,0.0;
1599.0,0.0,2297901.0,0.0;
1640.0,0.0,2297901.0,0.0;
1680.0,0.0,2297901.0,0.0;
1720.0,0.0,2297901.0,0.0;
1761.0,0.0,2297901.0,0.0;
1801.0,0.0,2297901.0,0.0;
1841.0,0.0,2297901.0,0.0;
1881.0,0.0,2297901.0,0.0;
1921.0,0.0,2297901.0,0.0;
1963.0,0.0,2297901.0,0.0;
2002.0,0.0,2297901.0,0.0;
2043.0,0.0,2297901.0,0.0;
2084.0,0.0,2297901.0,0.0;
2124.0,0.0,2297901.0,0.0;
2164.0,0.0,2297901.0,0.0;
2204.0,0.0,2297901.0,0.0;
2244.0,0.0,2297901.0,0.0;
2284.0,0.0,2297901.0,0.0;
nan,nan,nan,nan;
2328.0,0.0,2297901.0,0.0;
2368.0,0.0,2297901.0,0.0;
2408.0,0.0,2297901.0,0.0;
2449.0,0.0,2297901.0,0.0;
2490.0,0.0,2297901.0,0.0;
2530.0,0.0,2297901.0,0.0;
2571.0,0.0,2297901.0,0.0;
2611.0,0.0,2297901.0,0.0;
2651.0,0.0,2297901.0,0.0;
2691.0,0.0,2297901.0,0.0;
2731.0,0.0,2297901.0,0.0;
2771.0,0.0,2297901.0,0.0;
2811.0,0.0,2297901.0,0.0;
2856.0,0.0,2297901.0,0.0;
2902.0,0.0,2297901.0,0.0;
2944.0,0.0,2297901.0,0.0;
2984.0,0.0,2297901.0,0.0;
3024.0,0.0,2297901.0,0.0;
3065.0,0.0,2297901.0,0.0;
3107.0,0.0,2297901.0,0.0;
3148.0,0.0,2297901.0,0.0;
3190.0,0.0,2297901.0,0.0;
3231.0,0.0,2297901.0,0.0;
3271.0,0.0,2297901.0,0.0;
3312.0,0.0,2297901.0,0.0;
3353.0,0.0,2297901.0,0.0;
3394.0,0.0,2297901.0,0.0;
3434.0,0.0,2297901.0,0.0;
3474.0,0.0,2297901.0,0.0;
3515.0,0.0,2297901.0,0.0;
3554.0,0.0,2297901.0,0.0;
3598.0,0.0,2297901.0,0.0;
3641.0,0.0,2297901.0,0.0;
3683.0,0.0,2297901.0,0.0;
3729.0,0.0,2297901.0,0.0;
3784.0,0.0,2297901.0,0.0;
3834.0,0.0,2297901.0,0.0;
3879.0,0.0,2297901.0,0.0;
3924.0,0.0,2297901.0,0.0;
3986.0,0.0,2297901.0,0.0;
4037.0,0.0,2297901.0,0.0;
4085.0,0.0,2297901.0,0.0;
4129.0,0.0,2297901.0,0.0;
4181.0,0.0,2297901.0,0.0;
4232.0,0.0,2297901.0,0.0;
4276.0,0.0,2297901.0,0.0;
4320.0,0.0,2297901.0,0.0;
4361.0,0.0,2297901.0,0.0;
4402.0,0.0,2297901.0,0.0;
4442.0,0.0,2297901.0,0.0;
4481.0,0.0,2297901.0,0.0;
4521.0,0.0,2297901.0,0.0;
4561.0,0.0,2297901.0,0.0;
4601.0,0.0,2297901.0,0.0;
4643.0,0.0,2297901.0,0.0;
4690.0,0.0,2297901.0,0.0;
4731.0,0.0,2297901.0,0.0;
4773.0,0.0,2297901.0,0.0;
4820.0,0.0,2297901.0,0.0;
4864.0,0.0,2297901.0,0.0;
4907.0,0.0,2297901.0,0.0;
4948.0,0.0,2297901.0,0.0;
4990.0,0.0,2297901.0,0.0;
5030.0,0.0,2297901.0,0.0;
5070.0,0.0,2297901.0,0.0;
5113.0,0.0,2297901.0,0.0;
5156.0,0.0,2297901.0,0.0;
5196.0,0.0,2297901.0,0.0;
5236.0,0.0,2297901.0,0.0;
5276.0,0.0,2297901.0,0.0;
5316.0,0.0,2297901.0,0.0;
5356.0,0.0,2297901.0,0.0;
nan,nan,nan,nan;
5400.0,0.0,2297901.0,0.0;
5441.0,0.0,2297901.0,0.0;
5481.0,0.0,2297901.0,0.0;
5521.0,0.0,2297901.0,0.0;
5562.0,0.0,2297901.0,0.0;
5602.0,0.0,2297901.0,0.0;
5643.0,0.0,2297901.0,0.0;
5682.0,0.0,2297901.0,0.0;
5723.0,0.0,2297901.0,0.0;
5763.0,0.0,2297901.0,0.0;
5804.0,0.0,2297901.0,0.0;
5844.0,0.0,2297901.0,0.0;
5884.0,0.0,2297901.0,0.0;
5924.0,0.0,2297901.0,0.0;
5964.0,0.0,2297901.0,0.0;
6004.0,0.0,2297901.0,0.0;
6046.0,0.0,2297901.0,0.0;
6087.0,0.0,2297901.0,0.0;
6127.0,0.0,2297901.0,0.0;
6167.0,0.0,2297901.0,0.0;
6207.0,0.0,2297901.0,0.0;
6247.0,0.0,2297901.0,0.0;
