%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:03:47

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
6440.0,0.0,1486684.75,0.0;
6479.0,0.0,1486684.75,0.0;
6518.0,0.0,1486684.75,0.0;
6558.0,0.0,1486684.75,0.0;
nan,nan,nan,nan;
6605.0,0.0,1486684.75,0.0;
6646.0,0.0,1486684.75,0.0;
6688.0,0.0,1486684.75,0.0;
6731.0,0.0,1486684.75,0.0;
6773.0,0.0,1486684.75,0.0;
6814.0,0.0,1486684.75,0.0;
nan,nan,nan,nan;
6861.0,0.0,1486684.75,0.0;
6901.0,0.0,1486684.75,0.0;
6941.0,0.0,1486684.75,0.0;
6984.0,0.0,1486684.75,0.0;
7025.0,0.0,1486684.75,0.0;
7067.0,0.0,1486684.75,0.0;
7112.0,0.0,1486684.75,0.0;
7158.0,0.0,1486684.75,0.0;
7205.0,0.0,1486684.75,0.0;
7250.0,0.0,1486684.75,0.0;
7292.0,0.0,1486684.75,0.0;
7332.0,0.0,1486684.75,0.0;
7374.0,0.0,1486684.75,0.0;
7414.0,0.0,1486684.75,0.0;
7455.0,0.0,1486684.75,0.0;
7494.0,0.0,1486684.75,0.0;
7534.0,0.0,1486684.75,0.0;
7574.0,0.0,1486684.75,0.0;
7616.0,0.0,1486684.75,0.0;
7659.0,0.0,1486684.75,0.0;
7700.0,0.0,1486684.75,0.0;
7740.0,0.0,1486684.75,0.0;
7780.0,0.0,1486684.75,0.0;
7821.0,0.0,1486684.75,0.0;
7861.0,0.0,1486684.75,0.0;
7901.0,0.0,1486684.75,0.0;
7946.0,0.0,1486684.75,0.0;
7989.0,0.0,1486684.75,0.0;
8036.0,0.0,1486684.75,0.0;
8091.0,0.0,1486684.75,0.0;
8143.0,0.0,1486684.75,0.0;
8194.0,0.0,1486684.75,0.0;
8243.0,0.0,1486684.75,0.0;
8286.0,0.0,1486684.75,0.0;
8335.0,0.0,1486684.75,0.0;
8379.0,0.0,1486684.75,0.0;
8419.0,0.0,1486684.75,0.0;
8460.0,0.0,1486684.75,0.0;
8502.0,0.0,1486684.75,0.0;
8544.0,0.0,1486684.75,0.0;
8589.0,0.0,1486684.75,0.0;
8630.0,0.0,1486684.75,0.0;
8673.0,0.0,1486684.75,0.0;
8718.0,0.0,1486684.75,0.0;
8772.0,0.0,1486684.75,0.0;
8823.0,0.0,1486684.75,0.0;
8873.0,0.0,1486684.75,0.0;
8924.0,0.0,1486684.75,0.0;
8974.0,0.0,1486684.75,0.0;
9020.0,0.0,1486684.75,0.0;
9072.0,0.0,1486684.75,0.0;
9121.0,0.0,1486684.75,0.0;
9163.0,0.0,1486684.75,0.0;
9203.0,0.0,1486684.75,0.0;
9243.0,0.0,1486684.75,0.0;
9285.0,0.0,1486684.75,0.0;
9325.0,0.0,1486684.75,0.0;
9367.0,0.0,1486684.75,0.0;
9407.0,0.0,1486684.75,0.0;
9458.0,0.0,1486684.75,0.0;
9510.0,0.0,1486684.75,0.0;
9551.0,0.0,1486684.75,0.0;
9591.0,0.0,1486684.75,0.0;
9634.0,0.0,1486684.75,0.0;
9675.0,0.0,1486684.75,0.0;
9715.0,0.0,1486684.75,0.0;
9758.0,0.0,1486684.75,0.0;
9798.0,0.0,1486684.75,0.0;
9839.0,0.0,1486684.75,0.0;
9880.0,0.0,1486684.75,0.0;
9922.0,0.0,1486684.75,0.0;
9962.0,0.0,1486684.75,0.0;
10001.0,0.0,1486684.75,0.0;
10041.0,0.0,1486684.75,0.0;
10081.0,0.0,1486684.75,0.0;
10121.0,0.0,1486684.75,0.0;
10162.0,0.0,1486684.75,0.0;
10202.0,0.0,1486684.75,0.0;
10241.0,0.0,1486684.75,0.0;
10282.0,0.0,1486684.75,0.0;
10322.0,0.0,1486684.75,0.0;
10362.0,0.0,1486684.75,0.0;
10402.0,0.0,1486684.75,0.0;
nan,nan,nan,nan;
10445.0,0.0,1486684.75,0.0;
10485.0,0.0,1486684.75,0.0;
10530.0,0.0,1486684.75,0.0;
10577.0,0.0,1486684.75,0.0;
10623.0,0.0,1486684.75,0.0;
10673.0,0.0,1486684.75,0.0;
10721.0,0.0,1486684.75,0.0;
10768.0,0.0,1486684.75,0.0;
10814.0,0.0,1486684.75,0.0;
10857.0,0.0,1486684.75,0.0;
10897.0,0.0,1486684.75,0.0;
10939.0,0.0,1486684.75,0.0;
10979.0,0.0,1486684.75,0.0;
11018.0,0.0,1486684.75,0.0;
11059.0,0.0,1486684.75,0.0;
11099.0,0.0,1486684.75,0.0;
11139.0,0.0,1486684.75,0.0;
11179.0,0.0,1486684.75,0.0;
11219.0,0.0,1486684.75,0.0;
11259.0,0.0,1486684.75,0.0;
11299.0,0.0,1486684.75,0.0;
11339.0,0.0,1486684.75,0.0;
11382.0,0.0,1486684.75,0.0;
11432.0,0.0,1486684.75,0.0;
11474.0,0.0,1486684.75,0.0;
11515.0,0.0,1486684.75,0.0;
11555.0,0.0,1486684.75,0.0;
11594.0,0.0,1486684.75,0.0;
11634.0,0.0,1486684.75,0.0;
11675.0,0.0,1486684.75,0.0;
11715.0,0.0,1486684.75,0.0;
11755.0,0.0,1486684.75,0.0;
11794.0,0.0,1486684.75,0.0;
11834.0,0.0,1486684.75,0.0;
11877.0,0.0,1486684.75,0.0;
