%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:06:43

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
5.0,0.0,2299139.75,0.0;
52.0,0.0,2299139.75,0.0;
99.0,0.0,2299139.75,0.0;
144.0,0.0,2299139.75,0.0;
186.0,0.0,2299139.75,0.0;
226.0,0.0,2299139.75,0.0;
267.0,0.0,2299139.75,0.0;
306.0,0.0,2299139.75,0.0;
345.0,0.0,2299139.75,0.0;
384.0,0.0,2299139.75,0.0;
427.0,0.0,2299139.75,0.0;
470.0,0.0,2299139.75,0.0;
512.0,0.0,2299139.75,0.0;
554.0,0.0,2299139.75,0.0;
594.0,0.0,2299139.75,0.0;
633.0,0.0,2299139.75,0.0;
676.0,0.0,2299139.75,0.0;
715.0,0.0,2299139.75,0.0;
754.0,0.0,2299139.75,0.0;
794.0,0.0,2299139.75,0.0;
834.0,0.0,2299139.75,0.0;
873.0,0.0,2299139.75,0.0;
912.0,0.0,2299139.75,0.0;
953.0,0.0,2299139.75,0.0;
992.0,0.0,2299139.75,0.0;
1032.0,0.0,2299139.75,0.0;
1074.0,0.0,2299139.75,0.0;
1113.0,0.0,2299139.75,0.0;
1152.0,0.0,2299139.75,0.0;
1193.0,0.0,2299139.75,0.0;
1233.0,0.0,2299139.75,0.0;
1272.0,0.0,2299139.75,0.0;
1313.0,0.0,2299139.75,0.0;
1353.0,0.0,2299139.75,0.0;
1392.0,0.0,2299139.75,0.0;
1432.0,0.0,2299139.75,0.0;
1473.0,0.0,2299139.75,0.0;
1512.0,0.0,2299139.75,0.0;
1552.0,0.0,2299139.75,0.0;
1592.0,0.0,2299139.75,0.0;
1632.0,0.0,2299139.75,0.0;
1673.0,0.0,2299139.75,0.0;
1712.0,0.0,2299139.75,0.0;
1752.0,0.0,2299139.75,0.0;
1793.0,0.0,2299139.75,0.0;
1834.0,0.0,2299139.75,0.0;
1874.0,0.0,2299139.75,0.0;
1913.0,0.0,2299139.75,0.0;
1952.0,0.0,2299139.75,0.0;
1992.0,0.0,2299139.75,0.0;
2032.0,0.0,2299139.75,0.0;
2072.0,0.0,2299139.75,0.0;
nan,nan,nan,nan;
2116.0,0.0,2299139.75,0.0;
2156.0,0.0,2299139.75,0.0;
2196.0,0.0,2299139.75,0.0;
2236.0,0.0,2299139.75,0.0;
2276.0,0.0,2299139.75,0.0;
2313.0,0.0,2299139.75,0.0;
2351.0,0.0,2299139.75,0.0;
2386.0,0.0,2299139.75,0.0;
2425.0,0.0,2299139.75,0.0;
2464.0,0.0,2299139.75,0.0;
2503.0,0.0,2299139.75,0.0;
2543.0,0.0,2299139.75,0.0;
2583.0,0.0,2299139.75,0.0;
2623.0,0.0,2299139.75,0.0;
2662.0,0.0,2299139.75,0.0;
2701.0,0.0,2299139.75,0.0;
2737.0,0.0,2299139.75,0.0;
2775.0,0.0,2299139.75,0.0;
2815.0,0.0,2299139.75,0.0;
2855.0,0.0,2299139.75,0.0;
2895.0,0.0,2299139.75,0.0;
2935.0,0.0,2299139.75,0.0;
2975.0,0.0,2299139.75,0.0;
3015.0,0.0,2299139.75,0.0;
3055.0,0.0,2299139.75,0.0;
3096.0,0.0,2299139.75,0.0;
nan,nan,nan,nan;
3140.0,0.0,2299139.75,0.0;
3179.0,0.0,2299139.75,0.0;
3219.0,0.0,2299139.75,0.0;
3258.0,0.0,2299139.75,0.0;
3297.0,0.0,2299139.75,0.0;
3337.0,0.0,2299139.75,0.0;
3378.0,0.0,2299139.75,0.0;
3417.0,0.0,2299139.75,0.0;
3456.0,0.0,2299139.75,0.0;
3501.0,0.0,2299139.75,0.0;
3543.0,0.0,2299139.75,0.0;
3583.0,0.0,2299139.75,0.0;
3623.0,0.0,2299139.75,0.0;
3663.0,0.0,2299139.75,0.0;
3703.0,0.0,2299139.75,0.0;
3746.0,0.0,2299139.75,0.0;
3790.0,0.0,2299139.75,0.0;
3829.0,0.0,2299139.75,0.0;
3870.0,0.0,2299139.75,0.0;
3910.0,0.0,2299139.75,0.0;
3949.0,0.0,2299139.75,0.0;
3990.0,0.0,2299139.75,0.0;
4030.0,0.0,2299139.75,0.0;
4068.0,0.0,2299139.75,0.0;
4108.0,0.0,2299139.75,0.0;
4146.0,0.0,2299139.75,0.0;
4185.0,0.0,2299139.75,0.0;
4225.0,0.0,2299139.75,0.0;
4264.0,0.0,2299139.75,0.0;
4304.0,0.0,2299139.75,0.0;
4344.0,0.0,2299139.75,0.0;
4384.0,0.0,2299139.75,0.0;
4423.0,0.0,2299139.75,0.0;
4463.0,0.0,2299139.75,0.0;
4502.0,0.0,2299139.75,0.0;
4543.0,0.0,2299139.75,0.0;
4583.0,0.0,2299139.75,0.0;
4623.0,0.0,2299139.75,0.0;
4664.0,0.0,2299139.75,0.0;
4704.0,0.0,2299139.75,0.0;
4745.0,0.0,2299139.75,0.0;
4783.0,0.0,2299139.75,0.0;
4822.0,0.0,2299139.75,0.0;
4867.0,0.0,2299139.75,0.0;
4906.0,0.0,2299139.75,0.0;
4946.0,0.0,2299139.75,0.0;
4985.0,0.0,2299139.75,0.0;
5024.0,0.0,2299139.75,0.0;
5065.0,0.0,2299139.75,0.0;
5105.0,0.0,2299139.75,0.0;
5144.0,0.0,2299139.75,0.0;
nan,nan,nan,nan;
5188.0,0.0,2299139.75,0.0;
5228.0,0.0,2299139.75,0.0;
5268.0,0.0,2299139.75,0.0;
5306.0,0.0,2299139.75,0.0;
5346.0,0.0,2299139.75,0.0;
5385.0,0.0,2299139.75,0.0;
5424.0,0.0,2299139.75,0.0;
5464.0,0.0,2299139.75,0.0;
5504.0,0.0,2299139.75,0.0;
5543.0,0.0,2299139.75,0.0;
5583.0,0.0,2299139.75,0.0;
5624.0,0.0,2299139.75,0.0;
5664.0,0.0,2299139.75,0.0;
5704.0,0.0,2299139.75,0.0;
5744.0,0.0,2299139.75,0.0;
5784.0,0.0,2299139.75,0.0;
nan,nan,nan,nan;
5828.0,0.0,2299139.75,0.0;
5870.0,0.0,2299139.75,0.0;
5908.0,0.0,2299139.75,0.0;
5946.0,0.0,2299139.75,0.0;
5986.0,0.0,2299139.75,0.0;
6025.0,0.0,2299139.75,0.0;
6063.0,0.0,2299139.75,0.0;
6103.0,0.0,2299139.75,0.0;
6143.0,0.0,2299139.75,0.0;
6182.0,0.0,2299139.75,0.0;
6221.0,0.0,2299139.75,0.0;
6261.0,0.0,2299139.75,0.0;
6300.0,0.0,2299139.75,0.0;
6340.0,0.0,2299139.75,0.0;
6378.0,0.0,2299139.75,0.0;
6417.0,0.0,2299139.75,0.0;
6455.0,0.0,2299139.75,0.0;
6495.0,0.0,2299139.75,0.0;
6534.0,0.0,2299139.75,0.0;
