%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:04:56

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
6435.0,0.0,2298368.0,0.0;
6475.0,0.0,2298368.0,0.0;
6515.0,0.0,2298368.0,0.0;
6555.0,0.0,2298368.0,0.0;
6595.0,0.0,2298368.0,0.0;
6635.0,0.0,2298368.0,0.0;
6675.0,0.0,2298368.0,0.0;
6717.0,0.0,2298368.0,0.0;
6758.0,0.0,2298368.0,0.0;
6799.0,0.0,2298368.0,0.0;
6840.0,0.0,2298368.0,0.0;
6883.0,0.0,2298368.0,0.0;
6925.0,0.0,2298368.0,0.0;
6968.0,0.0,2298368.0,0.0;
7010.0,0.0,2298368.0,0.0;
7053.0,0.0,2298368.0,0.0;
7101.0,0.0,2298368.0,0.0;
7151.0,0.0,2298368.0,0.0;
7197.0,0.0,2298368.0,0.0;
7243.0,0.0,2298368.0,0.0;
7290.0,0.0,2298368.0,0.0;
7350.0,0.0,2298368.0,0.0;
7407.0,0.0,2298368.0,0.0;
7456.0,0.0,2298368.0,0.0;
7499.0,0.0,2298368.0,0.0;
7543.0,0.0,2298368.0,0.0;
7592.0,0.0,2298368.0,0.0;
7640.0,0.0,2298368.0,0.0;
7685.0,0.0,2298368.0,0.0;
7726.0,0.0,2298368.0,0.0;
7768.0,0.0,2298368.0,0.0;
7808.0,0.0,2298368.0,0.0;
7849.0,0.0,2298368.0,0.0;
7891.0,0.0,2298368.0,0.0;
7931.0,0.0,2298368.0,0.0;
7971.0,0.0,2298368.0,0.0;
8011.0,0.0,2298368.0,0.0;
8051.0,0.0,2298368.0,0.0;
8092.0,0.0,2298368.0,0.0;
8136.0,0.0,2298368.0,0.0;
8181.0,0.0,2298368.0,0.0;
8222.0,0.0,2298368.0,0.0;
8263.0,0.0,2298368.0,0.0;
8303.0,0.0,2298368.0,0.0;
8342.0,0.0,2298368.0,0.0;
8386.0,0.0,2298368.0,0.0;
8427.0,0.0,2298368.0,0.0;
