%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:07:10

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
1.0,0.0,2299490.75,0.0;
43.0,0.0,2299490.75,0.0;
86.0,0.0,2299490.75,0.0;
136.0,0.0,2299490.75,0.0;
175.0,0.0,2299490.75,0.0;
219.0,0.0,2299490.75,0.0;
262.0,0.0,2299490.75,0.0;
303.0,0.0,2299490.75,0.0;
343.0,0.0,2299490.75,0.0;
385.0,0.0,2299490.75,0.0;
425.0,0.0,2299490.75,0.0;
467.0,0.0,2299490.75,0.0;
507.0,0.0,2299490.75,0.0;
547.0,0.0,2299490.75,0.0;
589.0,0.0,2299490.75,0.0;
630.0,0.0,2299490.75,0.0;
670.0,0.0,2299490.75,0.0;
710.0,0.0,2299490.75,0.0;
750.0,0.0,2299490.75,0.0;
791.0,0.0,2299490.75,0.0;
832.0,0.0,2299490.75,0.0;
871.0,0.0,2299490.75,0.0;
911.0,0.0,2299490.75,0.0;
951.0,0.0,2299490.75,0.0;
993.0,0.0,2299490.75,0.0;
1038.0,0.0,2299490.75,0.0;
1083.0,0.0,2299490.75,0.0;
1125.0,0.0,2299490.75,0.0;
1168.0,0.0,2299490.75,0.0;
1209.0,0.0,2299490.75,0.0;
1249.0,0.0,2299490.75,0.0;
1289.0,0.0,2299490.75,0.0;
1331.0,0.0,2299490.75,0.0;
1371.0,0.0,2299490.75,0.0;
1411.0,0.0,2299490.75,0.0;
1453.0,0.0,2299490.75,0.0;
1493.0,0.0,2299490.75,0.0;
1534.0,0.0,2299490.75,0.0;
1583.0,0.0,2299490.75,0.0;
1631.0,0.0,2299490.75,0.0;
1677.0,0.0,2299490.75,0.0;
1718.0,0.0,2299490.75,0.0;
1758.0,0.0,2299490.75,0.0;
1799.0,0.0,2299490.75,0.0;
1840.0,0.0,2299490.75,0.0;
1883.0,0.0,2299490.75,0.0;
1925.0,0.0,2299490.75,0.0;
1968.0,0.0,2299490.75,0.0;
2009.0,0.0,2299490.75,0.0;
2051.0,0.0,2299490.75,0.0;
2093.0,0.0,2299490.75,0.0;
2133.0,0.0,2299490.75,0.0;
2173.0,0.0,2299490.75,0.0;
2214.0,0.0,2299490.75,0.0;
2254.0,0.0,2299490.75,0.0;
2294.0,0.0,2299490.75,0.0;
2335.0,0.0,2299490.75,0.0;
2377.0,0.0,2299490.75,0.0;
2417.0,0.0,2299490.75,0.0;
2457.0,0.0,2299490.75,0.0;
2497.0,0.0,2299490.75,0.0;
2539.0,0.0,2299490.75,0.0;
2579.0,0.0,2299490.75,0.0;
2619.0,0.0,2299490.75,0.0;
2659.0,0.0,2299490.75,0.0;
2700.0,0.0,2299490.75,0.0;
2741.0,0.0,2299490.75,0.0;
2782.0,0.0,2299490.75,0.0;
2823.0,0.0,2299490.75,0.0;
2865.0,0.0,2299490.75,0.0;
2905.0,0.0,2299490.75,0.0;
2945.0,0.0,2299490.75,0.0;
2989.0,0.0,2299490.75,0.0;
3031.0,0.0,2299490.75,0.0;
3072.0,0.0,2299490.75,0.0;
3111.0,0.0,2299490.75,0.0;
3151.0,0.0,2299490.75,0.0;
3193.0,0.0,2299490.75,0.0;
3233.0,0.0,2299490.75,0.0;
3273.0,0.0,2299490.75,0.0;
3313.0,0.0,2299490.75,0.0;
3353.0,0.0,2299490.75,0.0;
3393.0,0.0,2299490.75,0.0;
3433.0,0.0,2299490.75,0.0;
3475.0,0.0,2299490.75,0.0;
3515.0,0.0,2299490.75,0.0;
3555.0,0.0,2299490.75,0.0;
3597.0,0.0,2299490.75,0.0;
3638.0,0.0,2299490.75,0.0;
3679.0,0.0,2299490.75,0.0;
3721.0,0.0,2299490.75,0.0;
3761.0,0.0,2299490.75,0.0;
3801.0,0.0,2299490.75,0.0;
3843.0,0.0,2299490.75,0.0;
3883.0,0.0,2299490.75,0.0;
3923.0,0.0,2299490.75,0.0;
3963.0,0.0,2299490.75,0.0;
4003.0,0.0,2299490.75,0.0;
4043.0,0.0,2299490.75,0.0;
4083.0,0.0,2299490.75,0.0;
4123.0,0.0,2299490.75,0.0;
4163.0,0.0,2299490.75,0.0;
4203.0,0.0,2299490.75,0.0;
