%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:04:47

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
2.0,0.0,2298571.75,0.0;
46.0,0.0,2298571.75,0.0;
90.0,0.0,2298571.75,0.0;
130.0,0.0,2298571.75,0.0;
176.0,0.0,2298571.75,0.0;
220.0,0.0,2298571.75,0.0;
262.0,0.0,2298571.75,0.0;
301.0,0.0,2298571.75,0.0;
340.0,0.0,2298571.75,0.0;
383.0,0.0,2298571.75,0.0;
424.0,0.0,2298571.75,0.0;
464.0,0.0,2298571.75,0.0;
504.0,0.0,2298571.75,0.0;
543.0,0.0,2298571.75,0.0;
583.0,0.0,2298571.75,0.0;
623.0,0.0,2298571.75,0.0;
663.0,0.0,2298571.75,0.0;
703.0,0.0,2298571.75,0.0;
743.0,0.0,2298571.75,0.0;
787.0,0.0,2298571.75,0.0;
829.0,0.0,2298571.75,0.0;
874.0,0.0,2298571.75,0.0;
918.0,0.0,2298571.75,0.0;
959.0,0.0,2298571.75,0.0;
999.0,0.0,2298571.75,0.0;
1040.0,0.0,2298571.75,0.0;
1082.0,0.0,2298571.75,0.0;
1122.0,0.0,2298571.75,0.0;
1162.0,0.0,2298571.75,0.0;
1202.0,0.0,2298571.75,0.0;
1242.0,0.0,2298571.75,0.0;
1282.0,0.0,2298571.75,0.0;
1322.0,0.0,2298571.75,0.0;
1362.0,0.0,2298571.75,0.0;
1402.0,0.0,2298571.75,0.0;
1442.0,0.0,2298571.75,0.0;
1482.0,0.0,2298571.75,0.0;
1522.0,0.0,2298571.75,0.0;
1563.0,0.0,2298571.75,0.0;
1602.0,0.0,2298571.75,0.0;
1643.0,0.0,2298571.75,0.0;
1685.0,0.0,2298571.75,0.0;
1728.0,0.0,2298571.75,0.0;
1768.0,0.0,2298571.75,0.0;
1809.0,0.0,2298571.75,0.0;
1850.0,0.0,2298571.75,0.0;
1890.0,0.0,2298571.75,0.0;
1930.0,0.0,2298571.75,0.0;
1970.0,0.0,2298571.75,0.0;
2010.0,0.0,2298571.75,0.0;
2050.0,0.0,2298571.75,0.0;
2090.0,0.0,2298571.75,0.0;
2130.0,0.0,2298571.75,0.0;
2170.0,0.0,2298571.75,0.0;
2210.0,0.0,2298571.75,0.0;
2250.0,0.0,2298571.75,0.0;
2290.0,0.0,2298571.75,0.0;
2330.0,0.0,2298571.75,0.0;
2370.0,0.0,2298571.75,0.0;
2410.0,0.0,2298571.75,0.0;
2450.0,0.0,2298571.75,0.0;
2490.0,0.0,2298571.75,0.0;
2531.0,0.0,2298571.75,0.0;
2573.0,0.0,2298571.75,0.0;
2613.0,0.0,2298571.75,0.0;
2655.0,0.0,2298571.75,0.0;
2695.0,0.0,2298571.75,0.0;
2735.0,0.0,2298571.75,0.0;
2778.0,0.0,2298571.75,0.0;
2818.0,0.0,2298571.75,0.0;
2858.0,0.0,2298571.75,0.0;
2900.0,0.0,2298571.75,0.0;
2939.0,0.0,2298571.75,0.0;
2978.0,0.0,2298571.75,0.0;
