%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:04:17

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
1.0,0.0,2255581.0,0.0;
51.0,0.0,2255580.75,-250.00003051757812;
93.0,0.0,2255580.75,0.0;
146.0,0.0,2255580.75,0.0;
189.0,0.0,2255580.25,-125.00000762939453;
232.0,0.0,2255579.75,-125.00000762939453;
276.0,0.0,2255579.75,0.0;
317.0,0.0,2255579.75,0.0;
359.0,0.0,2255579.75,0.0;
402.0,0.0,2255579.75,0.0;
444.0,0.0,2255579.75,0.0;
485.0,0.0,2255579.75,0.0;
nan,nan,nan,nan;
530.0,0.0,2255579.75,0.0;
572.0,0.0,2255579.75,0.0;
613.0,0.0,2255579.75,0.0;
nan,nan,nan,nan;
658.0,0.0,2255579.75,0.0;
700.0,0.0,2255579.75,0.0;
741.0,0.0,2255579.75,0.0;
nan,nan,nan,nan;
786.0,0.0,2255579.75,0.0;
828.0,0.0,2255579.75,0.0;
869.0,0.0,2255579.75,0.0;
nan,nan,nan,nan;
914.0,0.0,2255579.75,0.0;
956.0,0.0,2255579.75,0.0;
997.0,0.0,2255579.75,0.0;
nan,nan,nan,nan;
1042.0,0.0,2255579.75,0.0;
1084.0,0.0,2255579.75,0.0;
1127.0,0.0,2255579.75,0.0;
1168.0,0.0,2255579.75,0.0;
1210.0,0.0,2255579.75,0.0;
1252.0,0.0,2255579.75,0.0;
1293.0,0.0,2255579.75,0.0;
1335.0,0.0,2255579.75,0.0;
1376.0,0.0,2255579.75,0.0;
1418.0,0.0,2255579.75,0.0;
1460.0,0.0,2255579.75,0.0;
1501.0,0.0,2255579.75,0.0;
1544.0,0.0,2255579.75,0.0;
1586.0,0.0,2255579.75,0.0;
1628.0,0.0,2255579.75,0.0;
1669.0,0.0,2255579.75,0.0;
1711.0,0.0,2255579.75,0.0;
1753.0,0.0,2255579.75,0.0;
1794.0,0.0,2255579.75,0.0;
1836.0,0.0,2255579.75,0.0;
1877.0,0.0,2255579.75,0.0;
1919.0,0.0,2255579.75,0.0;
1960.0,0.0,2255579.75,0.0;
2004.0,0.0,2255579.75,0.0;
2045.0,0.0,2255579.75,0.0;
2086.0,0.0,2255579.75,0.0;
2127.0,0.0,2255579.75,0.0;
2170.0,0.0,2255579.75,0.0;
2210.0,0.0,2255579.75,0.0;
2252.0,0.0,2255579.75,0.0;
2293.0,0.0,2255579.75,0.0;
2335.0,0.0,2255579.75,0.0;
2376.0,0.0,2255579.75,0.0;
2418.0,0.0,2255579.75,0.0;
2460.0,0.0,2255579.75,0.0;
2502.0,0.0,2255579.75,0.0;
2543.0,0.0,2255579.75,0.0;
2584.0,0.0,2255579.75,0.0;
2626.0,0.0,2255579.75,0.0;
2668.0,0.0,2255579.75,0.0;
2709.0,0.0,2255579.75,0.0;
2751.0,0.0,2255579.75,0.0;
2792.0,0.0,2255579.75,0.0;
2834.0,0.0,2255579.75,0.0;
