%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:04:08

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
1.0,0.0,2233640.0,0.0;
51.0,0.0,2233640.0,0.0;
96.0,0.0,2233640.0,0.0;
144.0,0.0,2233640.0,0.0;
187.0,0.0,2233639.75,-375.0000305175781;
228.0,0.0,2233639.75,0.0;
267.0,0.0,2233639.75,0.0;
304.0,0.0,2233639.75,0.0;
341.0,0.0,2233639.75,0.0;
379.0,0.0,2233639.75,0.0;
416.0,0.0,2233639.75,0.0;
452.0,0.0,2233639.75,0.0;
492.0,0.0,2233639.75,0.0;
528.0,0.0,2233639.75,0.0;
563.0,0.0,2233639.75,0.0;
603.0,0.0,2233639.75,0.0;
646.0,0.0,2233639.75,0.0;
nan,nan,nan,nan;
690.0,0.0,2233639.75,0.0;
729.0,0.0,2233639.75,0.0;
766.0,0.0,2233639.75,0.0;
801.0,0.0,2233639.75,0.0;
837.0,0.0,2233639.75,0.0;
873.0,0.0,2233639.75,0.0;
909.0,0.0,2233639.75,0.0;
944.0,0.0,2233639.75,0.0;
981.0,0.0,2233639.75,0.0;
1016.0,0.0,2233639.75,0.0;
1054.0,0.0,2233639.75,0.0;
1089.0,0.0,2233639.75,0.0;
1125.0,0.0,2233639.75,0.0;
1161.0,0.0,2233639.75,0.0;
1197.0,0.0,2233639.75,0.0;
1236.0,0.0,2233639.75,0.0;
1272.0,0.0,2233639.75,0.0;
1309.0,0.0,2233639.75,0.0;
1345.0,0.0,2233639.75,0.0;
1381.0,0.0,2233639.75,0.0;
1416.0,0.0,2233639.75,0.0;
1453.0,0.0,2233639.75,0.0;
1489.0,0.0,2233639.75,0.0;
1526.0,0.0,2233639.75,0.0;
1561.0,0.0,2233639.75,0.0;
1598.0,0.0,2233639.75,0.0;
1633.0,0.0,2233639.75,0.0;
1670.0,0.0,2233639.75,0.0;
1707.0,0.0,2233639.75,0.0;
1744.0,0.0,2233639.75,0.0;
1779.0,0.0,2233639.75,0.0;
1814.0,0.0,2233639.75,0.0;
1854.0,0.0,2233639.75,0.0;
1889.0,0.0,2233639.75,0.0;
1926.0,0.0,2233639.75,0.0;
1962.0,0.0,2233639.75,0.0;
1998.0,0.0,2233639.75,0.0;
2033.0,0.0,2233639.75,0.0;
2072.0,0.0,2233639.75,0.0;
2111.0,0.0,2233639.75,0.0;
2150.0,0.0,2233639.75,0.0;
2189.0,0.0,2233639.75,0.0;
2228.0,0.0,2233639.75,0.0;
2266.0,0.0,2233639.75,0.0;
2303.0,0.0,2233639.75,0.0;
2342.0,0.0,2233639.75,0.0;
2381.0,0.0,2233639.75,0.0;
2419.0,0.0,2233639.75,0.0;
2458.0,0.0,2233639.75,0.0;
2497.0,0.0,2233639.75,0.0;
2536.0,0.0,2233639.75,0.0;
2575.0,0.0,2233639.75,0.0;
2614.0,0.0,2233639.75,0.0;
2653.0,0.0,2233639.75,0.0;
2691.0,0.0,2233639.75,0.0;
2732.0,0.0,2233639.75,0.0;
2771.0,0.0,2233639.75,0.0;
2810.0,0.0,2233639.75,0.0;
2848.0,0.0,2233639.75,0.0;
2888.0,0.0,2233639.75,0.0;
2928.0,0.0,2233639.75,0.0;
2967.0,0.0,2233639.75,0.0;
3006.0,0.0,2233639.75,0.0;
3045.0,0.0,2233639.75,0.0;
3084.0,0.0,2233639.75,0.0;
3123.0,0.0,2233639.75,0.0;
3163.0,0.0,2233639.75,0.0;
3203.0,0.0,2233639.75,0.0;
3243.0,0.0,2233639.75,0.0;
3282.0,0.0,2233639.75,0.0;
3322.0,0.0,2233639.75,0.0;
3362.0,0.0,2233639.75,0.0;
3403.0,0.0,2233639.75,0.0;
3442.0,0.0,2233639.75,0.0;
3481.0,0.0,2233639.75,0.0;
3520.0,0.0,2233639.75,0.0;
3560.0,0.0,2233639.75,0.0;
3600.0,0.0,2233639.75,0.0;
3640.0,0.0,2233639.75,0.0;
3680.0,0.0,2233639.75,0.0;
3720.0,0.0,2233639.75,0.0;
3760.0,0.0,2233639.75,0.0;
3798.0,0.0,2233639.75,0.0;
3837.0,0.0,2233639.75,0.0;
3876.0,0.0,2233639.75,0.0;
3915.0,0.0,2233639.75,0.0;
3956.0,0.0,2233639.75,0.0;
3997.0,0.0,2233639.75,0.0;
4036.0,0.0,2233639.75,0.0;
4075.0,0.0,2233639.75,0.0;
4115.0,0.0,2233639.75,0.0;
4155.0,0.0,2233639.75,0.0;
4195.0,0.0,2233639.75,0.0;
4236.0,0.0,2233639.75,0.0;
4275.0,0.0,2233639.75,0.0;
4315.0,0.0,2233639.75,0.0;
4355.0,0.0,2233639.75,0.0;
4395.0,0.0,2233639.75,0.0;
4435.0,0.0,2233639.75,0.0;
4475.0,0.0,2233639.75,0.0;
4515.0,0.0,2233639.75,0.0;
4555.0,0.0,2233639.75,0.0;
4595.0,0.0,2233639.75,0.0;
4635.0,0.0,2233639.75,0.0;
4675.0,0.0,2233639.75,0.0;
4716.0,0.0,2233639.75,0.0;
4756.0,0.0,2233639.75,0.0;
4795.0,0.0,2233639.75,0.0;
4835.0,0.0,2233639.75,0.0;
4881.0,0.0,2233639.75,0.0;
4921.0,0.0,2233639.75,0.0;
4961.0,0.0,2233639.75,0.0;
5002.0,0.0,2233639.75,0.0;
5041.0,0.0,2233639.75,0.0;
5081.0,0.0,2233639.75,0.0;
5121.0,0.0,2233639.75,0.0;
5161.0,0.0,2233639.75,0.0;
5201.0,0.0,2233639.75,0.0;
5241.0,0.0,2233639.75,0.0;
5281.0,0.0,2233639.75,0.0;
5321.0,0.0,2233639.75,0.0;
5361.0,0.0,2233639.75,0.0;
5401.0,0.0,2233639.75,0.0;
5441.0,0.0,2233639.75,0.0;
5481.0,0.0,2233639.75,0.0;
5521.0,0.0,2233639.75,0.0;
5561.0,0.0,2233639.75,0.0;
5601.0,0.0,2233639.75,0.0;
5641.0,0.0,2233639.75,0.0;
5681.0,0.0,2233639.75,0.0;
5721.0,0.0,2233639.75,0.0;
5761.0,0.0,2233639.75,0.0;
5801.0,0.0,2233639.75,0.0;
5843.0,0.0,2233639.75,0.0;
5884.0,0.0,2233639.75,0.0;
5926.0,0.0,2233639.75,0.0;
5967.0,0.0,2233639.75,0.0;
6009.0,0.0,2233639.75,0.0;
6049.0,0.0,2233639.75,0.0;
6091.0,0.0,2233639.75,0.0;
6130.0,0.0,2233639.75,0.0;
6170.0,0.0,2233639.75,0.0;
6210.0,0.0,2233639.75,0.0;
6250.0,0.0,2233639.75,0.0;
6290.0,0.0,2233639.75,0.0;
6330.0,0.0,2233639.75,0.0;
6370.0,0.0,2233639.75,0.0;
6410.0,0.0,2233639.75,0.0;
6450.0,0.0,2233639.75,0.0;
6491.0,0.0,2233639.75,0.0;
6530.0,0.0,2233639.75,0.0;
6570.0,0.0,2233639.75,0.0;
6610.0,0.0,2233639.75,0.0;
6650.0,0.0,2233639.75,0.0;
6690.0,0.0,2233639.75,0.0;
6730.0,0.0,2233639.75,0.0;
6770.0,0.0,2233639.75,0.0;
6810.0,0.0,2233639.75,0.0;
6851.0,0.0,2233639.75,0.0;
6891.0,0.0,2233639.75,0.0;
6931.0,0.0,2233639.75,0.0;
6973.0,0.0,2233639.75,0.0;
7012.0,0.0,2233639.75,0.0;
7051.0,0.0,2233639.75,0.0;
7091.0,0.0,2233639.75,0.0;
7131.0,0.0,2233639.75,0.0;
7171.0,0.0,2233639.75,0.0;
7211.0,0.0,2233639.75,0.0;
7251.0,0.0,2233639.75,0.0;
7293.0,0.0,2233639.75,0.0;
7332.0,0.0,2233639.75,0.0;
7371.0,0.0,2233639.75,0.0;
7411.0,0.0,2233639.75,0.0;
7451.0,0.0,2233639.75,0.0;
7491.0,0.0,2233639.75,0.0;
7531.0,0.0,2233639.75,0.0;
7571.0,0.0,2233639.75,0.0;
7612.0,0.0,2233639.75,0.0;
7651.0,0.0,2233639.75,0.0;
7691.0,0.0,2233639.75,0.0;
7731.0,0.0,2233639.75,0.0;
7771.0,0.0,2233639.75,0.0;
7812.0,0.0,2233639.75,0.0;
7851.0,0.0,2233639.75,0.0;
7892.0,0.0,2233639.75,0.0;
7931.0,0.0,2233639.75,0.0;
7975.0,0.0,2233639.75,0.0;
8017.0,0.0,2233639.75,0.0;
8062.0,0.0,2233639.75,0.0;
8137.0,0.0,2233639.75,0.0;
8187.0,0.0,2233639.75,0.0;
8246.0,0.0,2233639.75,0.0;
8304.0,0.0,2233639.75,0.0;
8354.0,0.0,2233639.75,0.0;
8417.0,0.0,2233639.75,0.0;
8472.0,0.0,2233639.75,0.0;
8526.0,0.0,2233639.75,0.0;
8575.0,0.0,2233639.75,0.0;
8625.0,0.0,2233639.75,0.0;
8670.0,0.0,2233639.75,0.0;
