%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:03:34

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
2.0,0.0,740837.125,0.0;
50.0,0.0,740837.125,0.0;
95.0,0.0,740838.8125,250.00003051757812;
140.0,0.0,740838.75,0.0;
181.0,0.0,740838.75,0.0;
222.0,0.0,740838.75,0.0;
265.0,0.0,740838.75,0.0;
304.0,0.0,740838.75,0.0;
344.0,0.0,740838.75,0.0;
383.0,0.0,740838.75,0.0;
422.0,0.0,740838.75,0.0;
461.0,0.0,740838.75,0.0;
501.0,0.0,740838.75,0.0;
541.0,0.0,740838.75,0.0;
581.0,0.0,740838.75,0.0;
621.0,0.0,740838.75,0.0;
663.0,0.0,740838.75,0.0;
702.0,0.0,740838.75,0.0;
741.0,0.0,740838.75,0.0;
782.0,0.0,740838.75,0.0;
822.0,0.0,740838.75,0.0;
861.0,0.0,740838.75,0.0;
902.0,0.0,740838.75,0.0;
943.0,0.0,740838.75,0.0;
982.0,0.0,740838.75,0.0;
1021.0,0.0,740838.75,0.0;
1061.0,0.0,740838.75,0.0;
1101.0,0.0,740838.75,0.0;
1141.0,0.0,740838.75,0.0;
1181.0,0.0,740838.75,0.0;
1220.0,0.0,740838.75,0.0;
1260.0,0.0,740838.75,0.0;
1301.0,0.0,740838.75,0.0;
1341.0,0.0,740838.75,0.0;
1381.0,0.0,740838.75,0.0;
1421.0,0.0,740838.75,0.0;
1462.0,0.0,740838.75,0.0;
1501.0,0.0,740838.75,0.0;
1541.0,0.0,740838.75,0.0;
1581.0,0.0,740838.75,0.0;
1621.0,0.0,740838.75,0.0;
1661.0,0.0,740838.75,0.0;
1705.0,0.0,740838.75,0.0;
1756.0,0.0,740838.75,0.0;
1796.0,0.0,740838.75,0.0;
1836.0,0.0,740838.75,0.0;
1877.0,0.0,740838.75,0.0;
