%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:03:23

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
1.0,0.0,-4023.25,0.0;
54.0,0.0,-4023.25,0.0;
103.0,0.0,-4023.25,0.0;
146.0,0.0,-4023.25,0.0;
187.0,0.0,-4023.25,0.0;
229.0,0.0,-4023.25,0.0;
269.0,0.0,-4023.25,0.0;
309.0,0.0,-4023.25,0.0;
349.0,0.0,-4023.25,0.0;
389.0,0.0,-4023.25,0.0;
429.0,0.0,-4023.25,0.0;
469.0,0.0,-4023.25,0.0;
510.0,0.0,-4023.25,0.0;
553.0,0.0,-4023.25,0.0;
592.0,0.0,-4023.25,0.0;
632.0,0.0,-4023.25,0.0;
677.0,0.0,-4023.25,0.0;
717.0,0.0,-4023.25,0.0;
757.0,0.0,-4023.25,0.0;
797.0,0.0,-4023.25,0.0;
837.0,0.0,-4023.25,0.0;
877.0,0.0,-4023.25,0.0;
919.0,0.0,-4023.25,0.0;
960.0,0.0,-4023.25,0.0;
1000.0,0.0,-4023.25,0.0;
1043.0,0.0,-4023.25,0.0;
1083.0,0.0,-4023.25,0.0;
1123.0,0.0,-4023.25,0.0;
1163.0,0.0,-4023.25,0.0;
1203.0,0.0,-4023.25,0.0;
1243.0,0.0,-4023.25,0.0;
1283.0,0.0,-4023.25,0.0;
1325.0,0.0,-4023.25,0.0;
1366.0,0.0,-4023.25,0.0;
nan,nan,nan,nan;
1410.0,0.0,-4023.25,0.0;
1449.0,0.0,-4023.25,0.0;
1488.0,0.0,-4023.25,0.0;
1528.0,0.0,-4023.25,0.0;
1569.0,0.0,-4023.25,0.0;
1609.0,0.0,-4023.25,0.0;
1648.0,0.0,-4023.25,0.0;
1688.0,0.0,-4023.25,0.0;
1732.0,0.0,-4023.25,0.0;
1773.0,0.0,-4023.25,0.0;
1815.0,0.0,-4023.25,0.0;
1856.0,0.0,-4023.25,0.0;
1896.0,0.0,-4023.25,0.0;
1936.0,0.0,-4023.25,0.0;
1978.0,0.0,-4023.25,0.0;
2018.0,0.0,-4023.25,0.0;
2058.0,0.0,-4023.25,0.0;
2099.0,0.0,-4023.25,0.0;
2141.0,0.0,-4023.25,0.0;
2181.0,0.0,-4023.25,0.0;
2221.0,0.0,-4023.25,0.0;
2261.0,0.0,-4023.25,0.0;
2301.0,0.0,-4023.25,0.0;
2341.0,0.0,-4023.25,0.0;
2382.0,0.0,-4023.25,0.0;
2423.0,0.0,-4023.25,0.0;
2464.0,0.0,-4023.25,0.0;
2505.0,0.0,-4023.25,0.0;
2545.0,0.0,-4023.25,0.0;
2585.0,0.0,-4023.25,0.0;
2624.0,0.0,-4023.25,0.0;
2664.0,0.0,-4023.25,0.0;
2704.0,0.0,-4023.25,0.0;
2744.0,0.0,-4023.25,0.0;
2784.0,0.0,-4023.25,0.0;
2824.0,0.0,-4023.25,0.0;
2864.0,0.0,-4023.25,0.0;
2906.0,0.0,-4023.25,0.0;
2946.0,0.0,-4023.25,0.0;
2985.0,0.0,-4023.25,0.0;
3025.0,0.0,-4023.25,0.0;
3065.0,0.0,-4023.25,0.0;
3105.0,0.0,-4023.25,0.0;
3145.0,0.0,-4023.25,0.0;
3185.0,0.0,-4023.25,0.0;
3225.0,0.0,-4023.25,0.0;
3265.0,0.0,-4023.25,0.0;
3305.0,0.0,-4023.25,0.0;
3345.0,0.0,-4023.25,0.0;
3384.0,0.0,-4023.25,0.0;
3426.0,0.0,-4023.25,0.0;
3465.0,0.0,-4023.25,0.0;
3505.0,0.0,-4023.25,0.0;
3545.0,0.0,-4023.25,0.0;
3587.0,0.0,-4023.25,0.0;
3627.0,0.0,-4023.25,0.0;
3667.0,0.0,-4023.25,0.0;
3709.0,0.0,-4023.25,0.0;
3751.0,0.0,-4023.25,0.0;
3791.0,0.0,-4023.25,0.0;
3832.0,0.0,-4023.25,0.0;
3872.0,0.0,-4023.25,0.0;
3913.0,0.0,-4023.25,0.0;
3952.0,0.0,-4023.25,0.0;
3993.0,0.0,-4023.25,0.0;
4032.0,0.0,-4023.25,0.0;
4073.0,0.0,-4023.25,0.0;
4115.0,0.0,-4023.25,0.0;
4157.0,0.0,-4023.25,0.0;
4197.0,0.0,-4023.25,0.0;
4239.0,0.0,-4023.25,0.0;
4279.0,0.0,-4023.25,0.0;
4319.0,0.0,-4023.25,0.0;
4360.0,0.0,-4023.25,0.0;
4401.0,0.0,-4023.25,0.0;
4440.0,0.0,-4023.25,0.0;
4481.0,0.0,-4023.25,0.0;
4522.0,0.0,-4023.25,0.0;
4565.0,0.0,-4023.25,0.0;
4605.0,0.0,-4023.25,0.0;
4645.0,0.0,-4023.25,0.0;
4685.0,0.0,-4023.25,0.0;
4725.0,0.0,-4023.25,0.0;
4765.0,0.0,-4023.25,0.0;
4805.0,0.0,-4023.25,0.0;
4847.0,0.0,-4023.25,0.0;
4889.0,0.0,-4023.25,0.0;
4930.0,0.0,-4023.25,0.0;
4970.0,0.0,-4023.25,0.0;
5010.0,0.0,-4023.25,0.0;
5050.0,0.0,-4023.25,0.0;
5093.0,0.0,-4023.25,0.0;
5145.0,0.0,-4023.25,0.0;
