%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:35:21

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
3.0,0.0,113.8885498046875,0.0;
61.0,0.0,113.88858032226562,0.0038146974984556437;
111.0,0.0,113.88858032226562,0.0;
149.0,0.0,113.88858032226562,0.0;
193.0,0.0,113.88858032226562,0.0;
231.0,0.0,113.88858032226562,0.0;
269.0,0.0,113.88858032226562,0.0;
311.0,0.0,113.88858032226562,0.0;
348.0,0.0,113.88858032226562,0.0;
386.0,0.0,113.88858032226562,0.0;
427.0,0.0,113.88858032226562,0.0;
465.0,0.0,113.88858032226562,0.0;
503.0,0.0,113.88858032226562,0.0;
540.0,0.0,113.88858032226562,0.0;
581.0,0.0,113.88858032226562,0.0;
620.0,0.0,113.88858032226562,0.0;
659.0,0.0,113.88858032226562,0.0;
707.0,0.0,113.88858032226562,0.0;
755.0,0.0,113.88858032226562,0.0;
805.0,0.0,113.88858032226562,0.0;
858.0,0.0,113.88858032226562,0.0;
903.0,0.0,113.88858032226562,0.0;
943.0,0.0,113.88858032226562,0.0;
983.0,0.0,113.88858032226562,0.0;
1021.0,0.0,113.88858032226562,0.0;
1060.0,0.0,113.88858032226562,0.0;
1099.0,0.0,113.88858032226562,0.0;
1139.0,0.0,113.88858032226562,0.0;
1180.0,0.0,113.88858032226562,0.0;
1220.0,0.0,113.88858032226562,0.0;
1260.0,0.0,113.88858032226562,0.0;
1299.0,0.0,113.88858032226562,0.0;
1344.0,0.0,113.88858032226562,0.0;
1388.0,0.0,113.88858032226562,0.0;
1427.0,0.0,113.88858032226562,0.0;
1466.0,0.0,113.88858032226562,0.0;
1506.0,0.0,113.88858032226562,0.0;
1543.0,0.0,113.88858032226562,0.0;
1583.0,0.0,113.88858032226562,0.0;
1621.0,0.0,113.88858032226562,0.0;
1665.0,0.0,113.88858032226562,0.0;
1717.0,0.0,113.88858032226562,0.0;
1768.0,0.0,113.88858032226562,0.0;
1813.0,0.0,113.88858032226562,0.0;
1852.0,0.0,113.88858032226562,0.0;
1891.0,0.0,113.88858032226562,0.0;
1931.0,0.0,113.88858032226562,0.0;
1970.0,0.0,113.88858032226562,0.0;
2010.0,0.0,113.88858032226562,0.0;
2050.0,0.0,113.88858032226562,0.0;
2087.0,0.0,113.88858032226562,0.0;
2124.0,0.0,113.88858032226562,0.0;
2164.0,0.0,113.88858032226562,0.0;
2204.0,0.0,113.88858032226562,0.0;
2243.0,0.0,113.88858032226562,0.0;
2282.0,0.0,113.88858032226562,0.0;
