%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:35:04

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
3.0,0.0,113.98949432373047,0.0;
60.0,0.0,113.989501953125,0.003814697964116931;
120.0,0.0,113.98956298828125,0.0038146974984556437;
169.0,0.0,113.98956298828125,0.0038146974984556437;
231.0,0.0,113.98959350585938,0.0038146974984556437;
286.0,0.0,113.98959350585938,0.0;
339.0,0.0,113.98959350585938,0.0;
386.0,0.0,113.98959350585938,0.0;
435.0,0.0,113.98959350585938,0.0;
483.0,0.0,113.98959350585938,0.0;
525.0,0.0,113.98959350585938,0.0;
567.0,0.0,113.98959350585938,0.0;
611.0,0.0,113.98959350585938,0.0;
653.0,0.0,113.98959350585938,0.0;
695.0,0.0,113.9896240234375,0.0038146974984556437;
738.0,0.0,113.9896240234375,0.0038146974984556437;
784.0,0.0,113.9896240234375,0.0;
833.0,0.0,113.9896240234375,0.0;
886.0,0.0,113.9896240234375,0.0;
929.0,0.0,113.9896240234375,0.0;
972.0,0.0,113.9896240234375,0.0;
1014.0,0.0,113.9896240234375,0.0;
1057.0,0.0,113.9896240234375,0.0;
1102.0,0.0,113.9896240234375,0.0;
1150.0,0.0,113.9896240234375,0.0;
1197.0,0.0,113.9896240234375,0.0;
1248.0,0.0,113.9896240234375,0.0;
1292.0,0.0,113.9896240234375,0.0;
1341.0,0.0,113.9896240234375,0.0;
1394.0,0.0,113.9896240234375,0.0;
1446.0,0.0,113.9896240234375,0.0;
1492.0,0.0,113.9896240234375,0.0;
1548.0,0.0,113.9896240234375,0.0;
1605.0,0.0,113.9896240234375,0.0;
1658.0,0.0,113.9896240234375,0.0;
1706.0,0.0,113.9896240234375,0.0;
1759.0,0.0,113.9896240234375,0.0;
1806.0,0.0,113.9896240234375,0.0;
1859.0,0.0,113.9896240234375,0.0;
1918.0,0.0,113.9896240234375,0.0;
1972.0,0.0,113.9896240234375,0.0;
2019.0,0.0,113.9896240234375,0.0;
2069.0,0.0,113.9896240234375,0.0;
2117.0,0.0,113.9896240234375,0.0;
2164.0,0.0,113.9896240234375,0.0;
2214.0,0.0,113.9896240234375,0.0;
2270.0,0.0,113.9896240234375,0.0;
2320.0,0.0,113.9896240234375,0.0;
2367.0,0.0,113.9896240234375,0.0;
2415.0,0.0,113.9896240234375,0.0;
2463.0,0.0,113.9896240234375,0.0;
2511.0,0.0,113.9896240234375,0.0;
2559.0,0.0,113.9896240234375,0.0;
2608.0,0.0,113.9896240234375,0.0;
2652.0,0.0,113.9896240234375,0.0;
2698.0,0.0,113.9896240234375,0.0;
2748.0,0.0,113.9896240234375,0.0;
2798.0,0.0,113.9896240234375,0.0;
2845.0,0.0,113.9896240234375,0.0;
2888.0,0.0,113.9896240234375,0.0;
2932.0,0.0,113.9896240234375,0.0;
2984.0,0.0,113.9896240234375,0.0;
3028.0,0.0,113.9896240234375,0.0;
3075.0,0.0,113.9896240234375,0.0;
3123.0,0.0,113.9896240234375,0.0;
3169.0,0.0,113.9896240234375,0.0;
3214.0,0.0,113.9896240234375,0.0;
3261.0,0.0,113.9896240234375,0.0;
3309.0,0.0,113.9896240234375,0.0;
3362.0,0.0,113.9896240234375,0.0;
3409.0,0.0,113.9896240234375,0.0;
3456.0,0.0,113.9896240234375,0.0;
3508.0,0.0,113.9896240234375,0.0;
3552.0,0.0,113.9896240234375,0.0;
3595.0,0.0,113.9896240234375,0.0;
3637.0,0.0,113.9896240234375,0.0;
3679.0,0.0,113.9896240234375,0.0;
3722.0,0.0,113.9896240234375,0.0;
3764.0,0.0,113.9896240234375,0.0;
3806.0,0.0,113.9896240234375,0.0;
3853.0,0.0,113.9896240234375,0.0;
3895.0,0.0,113.9896240234375,0.0;
3938.0,0.0,113.9896240234375,0.0;
3981.0,0.0,113.9896240234375,0.0;
4023.0,0.0,113.9896240234375,0.0;
4066.0,0.0,113.9896240234375,0.0;
4109.0,0.0,113.9896240234375,0.0;
4152.0,0.0,113.9896240234375,0.0;
4195.0,0.0,113.9896240234375,0.0;
4237.0,0.0,113.9896240234375,0.0;
4286.0,0.0,113.9896240234375,0.0;
4335.0,0.0,113.9896240234375,0.0;
4383.0,0.0,113.9896240234375,0.0;
4428.0,0.0,113.9896240234375,0.0;
4473.0,0.0,113.9896240234375,0.0;
4518.0,0.0,113.9896240234375,0.0;
4565.0,0.0,113.9896240234375,0.0;
4615.0,0.0,113.9896240234375,0.0;
4660.0,0.0,113.9896240234375,0.0;
4704.0,0.0,113.9896240234375,0.0;
4759.0,0.0,113.9896240234375,0.0;
4811.0,0.0,113.9896240234375,0.0;
4865.0,0.0,113.9896240234375,0.0;
4916.0,0.0,113.9896240234375,0.0;
4965.0,0.0,113.9896240234375,0.0;
5011.0,0.0,113.9896240234375,0.0;
5059.0,0.0,113.9896240234375,0.0;
5110.0,0.0,113.9896240234375,0.0;
5160.0,0.0,113.9896240234375,0.0;
nan,nan,nan,nan;
5216.0,0.0,113.9896240234375,0.0;
5263.0,0.0,113.9896240234375,0.0;
5311.0,0.0,113.9896240234375,0.0;
5354.0,0.0,113.9896240234375,0.0;
5396.0,0.0,113.9896240234375,0.0;
5438.0,0.0,113.9896240234375,0.0;
5482.0,0.0,113.9896240234375,0.0;
5525.0,0.0,113.9896240234375,0.0;
5567.0,0.0,113.9896240234375,0.0;
5610.0,0.0,113.9896240234375,0.0;
5653.0,0.0,113.9896240234375,0.0;
5695.0,0.0,113.9896240234375,0.0;
5738.0,0.0,113.9896240234375,0.0;
5780.0,0.0,113.9896240234375,0.0;
5822.0,0.0,113.9896240234375,0.0;
5866.0,0.0,113.9896240234375,0.0;
5908.0,0.0,113.9896240234375,0.0;
5951.0,0.0,113.9896240234375,0.0;
5994.0,0.0,113.9896240234375,0.0;
6036.0,0.0,113.9896240234375,0.0;
6080.0,0.0,113.9896240234375,0.0;
6123.0,0.0,113.9896240234375,0.0;
6165.0,0.0,113.9896240234375,0.0;
6207.0,0.0,113.9896240234375,0.0;
6250.0,0.0,113.9896240234375,0.0;
6292.0,0.0,113.9896240234375,0.0;
6335.0,0.0,113.9896240234375,0.0;
6379.0,0.0,113.9896240234375,0.0;
6424.0,0.0,113.9896240234375,0.0;
6476.0,0.0,113.9896240234375,0.0;
6530.0,0.0,113.9896240234375,0.0;
6580.0,0.0,113.9896240234375,0.0;
6626.0,0.0,113.9896240234375,0.0;
6672.0,0.0,113.9896240234375,0.0;
6723.0,0.0,113.9896240234375,0.0;
6781.0,0.0,113.9896240234375,0.0;
6841.0,0.0,113.9896240234375,0.0;
6895.0,0.0,113.9896240234375,0.0;
6941.0,0.0,113.9896240234375,0.0;
6985.0,0.0,113.9896240234375,0.0;
7032.0,0.0,113.9896240234375,0.0;
7079.0,0.0,113.9896240234375,0.0;
7128.0,0.0,113.9896240234375,0.0;
7173.0,0.0,113.9896240234375,0.0;
7221.0,0.0,113.9896240234375,0.0;
7267.0,0.0,113.9896240234375,0.0;
7309.0,0.0,113.9896240234375,0.0;
7355.0,0.0,113.9896240234375,0.0;
7401.0,0.0,113.9896240234375,0.0;
7443.0,0.0,113.9896240234375,0.0;
7485.0,0.0,113.9896240234375,0.0;
7533.0,0.0,113.9896240234375,0.0;
7575.0,0.0,113.9896240234375,0.0;
7619.0,0.0,113.9896240234375,0.0;
7662.0,0.0,113.9896240234375,0.0;
7705.0,0.0,113.9896240234375,0.0;
7748.0,0.0,113.9896240234375,0.0;
7790.0,0.0,113.9896240234375,0.0;
7835.0,0.0,113.9896240234375,0.0;
7880.0,0.0,113.9896240234375,0.0;
7924.0,0.0,113.9896240234375,0.0;
7966.0,0.0,113.9896240234375,0.0;
8009.0,0.0,113.9896240234375,0.0;
8058.0,0.0,113.9896240234375,0.0;
8105.0,0.0,113.9896240234375,0.0;
8150.0,0.0,113.9896240234375,0.0;
8198.0,0.0,113.9896240234375,0.0;
8242.0,0.0,113.9896240234375,0.0;
8288.0,0.0,113.9896240234375,0.0;
8336.0,0.0,113.9896240234375,0.0;
8383.0,0.0,113.9896240234375,0.0;
8425.0,0.0,113.9896240234375,0.0;
8473.0,0.0,113.9896240234375,0.0;
8527.0,0.0,113.9896240234375,0.0;
8587.0,0.0,113.9896240234375,0.0;
8636.0,0.0,113.9896240234375,0.0;
8684.0,0.0,113.9896240234375,0.0;
8738.0,0.0,113.9896240234375,0.0;
8796.0,0.0,113.9896240234375,0.0;
8845.0,0.0,113.9896240234375,0.0;
8895.0,0.0,113.9896240234375,0.0;
8947.0,0.0,113.9896240234375,0.0;
8996.0,0.0,113.9896240234375,0.0;
9048.0,0.0,113.9896240234375,0.0;
9102.0,0.0,113.9896240234375,0.0;
9148.0,0.0,113.9896240234375,0.0;
9193.0,0.0,113.9896240234375,0.0;
9242.0,0.0,113.9896240234375,0.0;
9286.0,0.0,113.9896240234375,0.0;
9330.0,0.0,113.9896240234375,0.0;
9386.0,0.0,113.9896240234375,0.0;
9429.0,0.0,113.9896240234375,0.0;
9475.0,0.0,113.9896240234375,0.0;
9518.0,0.0,113.9896240234375,0.0;
9565.0,0.0,113.9896240234375,0.0;
9619.0,0.0,113.9896240234375,0.0;
9668.0,0.0,113.9896240234375,0.0;
9711.0,0.0,113.9896240234375,0.0;
9756.0,0.0,113.9896240234375,0.0;
9803.0,0.0,113.9896240234375,0.0;
9850.0,0.0,113.9896240234375,0.0;
9899.0,0.0,113.9896240234375,0.0;
nan,nan,nan,nan;
9951.0,0.0,113.9896240234375,0.0;
9998.0,0.0,113.9896240234375,0.0;
10043.0,0.0,113.9896240234375,0.0;
10090.0,0.0,113.9896240234375,0.0;
10139.0,0.0,113.9896240234375,0.0;
10187.0,0.0,113.9896240234375,0.0;
10235.0,0.0,113.9896240234375,0.0;
10280.0,0.0,113.9896240234375,0.0;
10328.0,0.0,113.9896240234375,0.0;
10377.0,0.0,113.9896240234375,0.0;
10422.0,0.0,113.9896240234375,0.0;
10470.0,0.0,113.9896240234375,0.0;
10524.0,0.0,113.9896240234375,0.0;
10576.0,0.0,113.9896240234375,0.0;
10630.0,0.0,113.9896240234375,0.0;
10678.0,0.0,113.9896240234375,0.0;
10724.0,0.0,113.9896240234375,0.0;
10768.0,0.0,113.9896240234375,0.0;
10818.0,0.0,113.9896240234375,0.0;
10866.0,0.0,113.9896240234375,0.0;
10908.0,0.0,113.9896240234375,0.0;
10950.0,0.0,113.9896240234375,0.0;
10997.0,0.0,113.9896240234375,0.0;
11041.0,0.0,113.9896240234375,0.0;
11084.0,0.0,113.9896240234375,0.0;
11125.0,0.0,113.9896240234375,0.0;
11167.0,0.0,113.9896240234375,0.0;
11210.0,0.0,113.9896240234375,0.0;
11252.0,0.0,113.9896240234375,0.0;
11294.0,0.0,113.9896240234375,0.0;
11337.0,0.0,113.9896240234375,0.0;
11380.0,0.0,113.9896240234375,0.0;
11422.0,0.0,113.9896240234375,0.0;
11464.0,0.0,113.9896240234375,0.0;
11507.0,0.0,113.9896240234375,0.0;
11549.0,0.0,113.9896240234375,0.0;
11593.0,0.0,113.9896240234375,0.0;
11636.0,0.0,113.9896240234375,0.0;
11679.0,0.0,113.9896240234375,0.0;
11722.0,0.0,113.9896240234375,0.0;
11764.0,0.0,113.9896240234375,0.0;
11807.0,0.0,113.9896240234375,0.0;
11854.0,0.0,113.9896240234375,0.0;
11897.0,0.0,113.9896240234375,0.0;
11940.0,0.0,113.9896240234375,0.0;
11981.0,0.0,113.9896240234375,0.0;
12024.0,0.0,113.9896240234375,0.0;
12070.0,0.0,113.9896240234375,0.0;
12113.0,0.0,113.9896240234375,0.0;
12155.0,0.0,113.9896240234375,0.0;
12203.0,0.0,113.9896240234375,0.0;
12246.0,0.0,113.9896240234375,0.0;
12289.0,0.0,113.9896240234375,0.0;
12331.0,0.0,113.9896240234375,0.0;
12373.0,0.0,113.9896240234375,0.0;
12415.0,0.0,113.9896240234375,0.0;
12459.0,0.0,113.9896240234375,0.0;
12500.0,0.0,113.9896240234375,0.0;
12542.0,0.0,113.9896240234375,0.0;
12587.0,0.0,113.9896240234375,0.0;
12629.0,0.0,113.9896240234375,0.0;
12671.0,0.0,113.9896240234375,0.0;
12717.0,0.0,113.9896240234375,0.0;
12777.0,0.0,113.9896240234375,0.0;
12825.0,0.0,113.9896240234375,0.0;
12876.0,0.0,113.9896240234375,0.0;
12916.0,0.0,113.9896240234375,0.0;
12957.0,0.0,113.9896240234375,0.0;
12997.0,0.0,113.9896240234375,0.0;
13038.0,0.0,113.9896240234375,0.0;
13081.0,0.0,113.9896240234375,0.0;
13122.0,0.0,113.9896240234375,0.0;
13164.0,0.0,113.9896240234375,0.0;
13205.0,0.0,113.9896240234375,0.0;
13243.0,0.0,113.9896240234375,0.0;
13285.0,0.0,113.9896240234375,0.0;
13323.0,0.0,113.9896240234375,0.0;
13363.0,0.0,113.9896240234375,0.0;
13404.0,0.0,113.9896240234375,0.0;
13442.0,0.0,113.9896240234375,0.0;
13483.0,0.0,113.9896240234375,0.0;
13522.0,0.0,113.9896240234375,0.0;
13562.0,0.0,113.9896240234375,0.0;
13609.0,0.0,113.9896240234375,0.0;
13648.0,0.0,113.9896240234375,0.0;
13686.0,0.0,113.9896240234375,0.0;
13723.0,0.0,113.9896240234375,0.0;
13762.0,0.0,113.9896240234375,0.0;
13802.0,0.0,113.9896240234375,0.0;
13841.0,0.0,113.9896240234375,0.0;
13880.0,0.0,113.9896240234375,0.0;
13921.0,0.0,113.9896240234375,0.0;
13961.0,0.0,113.9896240234375,0.0;
14000.0,0.0,113.9896240234375,0.0;
14039.0,0.0,113.9896240234375,0.0;
14076.0,0.0,113.9896240234375,0.0;
14114.0,0.0,113.9896240234375,0.0;
