%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:36:25

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
1.0,0.0,116.5659408569336,0.0;
52.0,0.0,116.56594848632812,0.011444092728197575;
103.0,0.0,116.56594848632812,0.0;
168.0,0.0,116.56594848632812,0.0;
222.0,0.0,116.56594848632812,0.0;
275.0,0.0,116.56594848632812,0.0;
336.0,0.0,116.56594848632812,0.0;
389.0,0.0,116.56594848632812,0.0;
437.0,0.0,116.56594848632812,0.0;
490.0,0.0,116.56594848632812,0.0;
540.0,0.0,116.56594848632812,0.0;
592.0,0.0,116.56594848632812,0.0;
637.0,0.0,116.56594848632812,0.0;
687.0,0.0,116.56594848632812,0.0;
732.0,0.0,116.56594848632812,0.0;
778.0,0.0,116.56594848632812,0.0;
832.0,0.0,116.56594848632812,0.0;
877.0,0.0,116.56594848632812,0.0;
914.0,0.0,116.56594848632812,0.0;
955.0,0.0,116.56594848632812,0.0;
995.0,0.0,116.56594848632812,0.0;
1033.0,0.0,116.56594848632812,0.0;
1072.0,0.0,116.56594848632812,0.0;
1122.0,0.0,116.56594848632812,0.0;
1165.0,0.0,116.56594848632812,0.0;
1203.0,0.0,116.56594848632812,0.0;
1243.0,0.0,116.56594848632812,0.0;
1281.0,0.0,116.56594848632812,0.0;
1320.0,0.0,116.56594848632812,0.0;
1360.0,0.0,116.56594848632812,0.0;
1400.0,0.0,116.56594848632812,0.0;
1437.0,0.0,116.56594848632812,0.0;
1475.0,0.0,116.56594848632812,0.0;
1513.0,0.0,116.56594848632812,0.0;
nan,nan,nan,nan;
1558.0,0.0,116.56594848632812,0.0;
1595.0,0.0,116.56594848632812,0.0;
1632.0,0.0,116.56594848632812,0.0;
1672.0,0.0,116.56594848632812,0.0;
1712.0,0.0,116.56594848632812,0.0;
1750.0,0.0,116.56594848632812,0.0;
1786.0,0.0,116.56594848632812,0.0;
1824.0,0.0,116.56594848632812,0.0;
1862.0,0.0,116.56594848632812,0.0;
1899.0,0.0,116.56594848632812,0.0;
nan,nan,nan,nan;
1942.0,0.0,116.56594848632812,0.0;
1980.0,0.0,116.56594848632812,0.0;
2018.0,0.0,116.56594848632812,0.0;
2056.0,0.0,116.56594848632812,0.0;
2102.0,0.0,116.56594848632812,0.0;
2147.0,0.0,116.56594848632812,0.0;
2195.0,0.0,116.56594848632812,0.0;
2235.0,0.0,116.56594848632812,0.0;
2273.0,0.0,116.56594848632812,0.0;
2312.0,0.0,116.56594848632812,0.0;
