%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:36:06

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
2.0,0.0,115.24609375,0.0;
61.0,0.0,115.24608612060547,-0.011444092728197575;
110.0,0.0,115.24608612060547,0.0;
157.0,0.0,115.24605560302734,-0.0038146974984556437;
204.0,0.0,115.24605560302734,-0.0038146974984556437;
257.0,0.0,115.24605560302734,0.0;
313.0,0.0,115.24605560302734,0.0;
364.0,0.0,115.24605560302734,0.0;
419.0,0.0,115.24605560302734,0.0;
478.0,0.0,115.24605560302734,0.0;
534.0,0.0,115.24605560302734,0.0;
583.0,0.0,115.24605560302734,0.0;
637.0,0.0,115.24605560302734,0.0;
693.0,0.0,115.24605560302734,0.0;
749.0,0.0,115.24605560302734,0.0;
801.0,0.0,115.24605560302734,0.0;
845.0,0.0,115.24605560302734,0.0;
890.0,0.0,115.24605560302734,0.0;
935.0,0.0,115.24605560302734,0.0;
980.0,0.0,115.24605560302734,0.0;
1025.0,0.0,115.24605560302734,0.0;
1073.0,0.0,115.24605560302734,0.0;
1125.0,0.0,115.24605560302734,0.0;
1172.0,0.0,115.24605560302734,0.0;
1214.0,0.0,115.24605560302734,0.0;
1257.0,0.0,115.24605560302734,0.0;
1300.0,0.0,115.24605560302734,0.0;
1342.0,0.0,115.24605560302734,0.0;
1384.0,0.0,115.24605560302734,0.0;
1426.0,0.0,115.24605560302734,0.0;
1473.0,0.0,115.24605560302734,0.0;
1518.0,0.0,115.24605560302734,0.0;
1560.0,0.0,115.24605560302734,0.0;
1604.0,0.0,115.24605560302734,0.0;
1649.0,0.0,115.24605560302734,0.0;
1694.0,0.0,115.24605560302734,0.0;
1740.0,0.0,115.24605560302734,0.0;
1781.0,0.0,115.24605560302734,0.0;
1823.0,0.0,115.24605560302734,0.0;
nan,nan,nan,nan;
1873.0,0.0,115.24605560302734,0.0;
1916.0,0.0,115.24605560302734,0.0;
1958.0,0.0,115.24605560302734,0.0;
2002.0,0.0,115.24605560302734,0.0;
2045.0,0.0,115.24605560302734,0.0;
2087.0,0.0,115.24605560302734,0.0;
2131.0,0.0,115.24605560302734,0.0;
2177.0,0.0,115.24605560302734,0.0;
2221.0,0.0,115.24605560302734,0.0;
2274.0,0.0,115.24605560302734,0.0;
2325.0,0.0,115.24605560302734,0.0;
2369.0,0.0,115.24605560302734,0.0;
2412.0,0.0,115.24605560302734,0.0;
2454.0,0.0,115.24605560302734,0.0;
2501.0,0.0,115.24605560302734,0.0;
2546.0,0.0,115.24605560302734,0.0;
2589.0,0.0,115.24605560302734,0.0;
2635.0,0.0,115.24605560302734,0.0;
2681.0,0.0,115.24605560302734,0.0;
2724.0,0.0,115.24605560302734,0.0;
2767.0,0.0,115.24605560302734,0.0;
2810.0,0.0,115.24605560302734,0.0;
2853.0,0.0,115.24605560302734,0.0;
2898.0,0.0,115.24605560302734,0.0;
2943.0,0.0,115.24605560302734,0.0;
2986.0,0.0,115.24605560302734,0.0;
3029.0,0.0,115.24605560302734,0.0;
3071.0,0.0,115.24605560302734,0.0;
3113.0,0.0,115.24605560302734,0.0;
3171.0,0.0,115.24605560302734,0.0;
3224.0,0.0,115.24605560302734,0.0;
3271.0,0.0,115.24605560302734,0.0;
3319.0,0.0,115.24605560302734,0.0;
3373.0,0.0,115.24605560302734,0.0;
3425.0,0.0,115.24605560302734,0.0;
3471.0,0.0,115.24605560302734,0.0;
3517.0,0.0,115.24605560302734,0.0;
3563.0,0.0,115.24605560302734,0.0;
3609.0,0.0,115.24605560302734,0.0;
3653.0,0.0,115.24605560302734,0.0;
3695.0,0.0,115.24605560302734,0.0;
3740.0,0.0,115.24605560302734,0.0;
3785.0,0.0,115.24605560302734,0.0;
3829.0,0.0,115.24605560302734,0.0;
3881.0,0.0,115.24605560302734,0.0;
3929.0,0.0,115.24605560302734,0.0;
3972.0,0.0,115.24605560302734,0.0;
4016.0,0.0,115.24605560302734,0.0;
4059.0,0.0,115.24605560302734,0.0;
4101.0,0.0,115.24605560302734,0.0;
4143.0,0.0,115.24605560302734,0.0;
4186.0,0.0,115.24605560302734,0.0;
4228.0,0.0,115.24605560302734,0.0;
4271.0,0.0,115.24605560302734,0.0;
4314.0,0.0,115.24605560302734,0.0;
4356.0,0.0,115.24605560302734,0.0;
4404.0,0.0,115.24605560302734,0.0;
4446.0,0.0,115.24605560302734,0.0;
4489.0,0.0,115.24605560302734,0.0;
4532.0,0.0,115.24605560302734,0.0;
4574.0,0.0,115.24605560302734,0.0;
4617.0,0.0,115.24605560302734,0.0;
4660.0,0.0,115.24605560302734,0.0;
4702.0,0.0,115.24605560302734,0.0;
4744.0,0.0,115.24605560302734,0.0;
4787.0,0.0,115.24605560302734,0.0;
4829.0,0.0,115.24605560302734,0.0;
4873.0,0.0,115.24605560302734,0.0;
4916.0,0.0,115.24605560302734,0.0;
4958.0,0.0,115.24605560302734,0.0;
5000.0,0.0,115.24605560302734,0.0;
5043.0,0.0,115.24605560302734,0.0;
5085.0,0.0,115.24605560302734,0.0;
5127.0,0.0,115.24605560302734,0.0;
5170.0,0.0,115.24605560302734,0.0;
5213.0,0.0,115.24605560302734,0.0;
