%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:33:14

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
1.0,0.0,114.05831146240234,0.0;
59.0,0.0,114.05831146240234,0.0;
119.0,0.0,114.05831146240234,0.0;
177.0,0.0,114.05831146240234,0.0;
230.0,0.0,114.05831146240234,0.0;
281.0,0.0,114.05831146240234,0.0;
340.0,0.0,114.05831146240234,0.0;
395.0,0.0,114.05831146240234,0.0;
445.0,0.0,114.05831146240234,0.0;
494.0,0.0,114.05831146240234,0.0;
542.0,0.0,114.05831146240234,0.0;
595.0,0.0,114.05831146240234,0.0;
647.0,0.0,114.05831146240234,0.0;
695.0,0.0,114.05831146240234,0.0;
740.0,0.0,114.05831146240234,0.0;
786.0,0.0,114.05831146240234,0.0;
833.0,0.0,114.05831146240234,0.0;
878.0,0.0,114.05831146240234,0.0;
926.0,0.0,114.05831146240234,0.0;
980.0,0.0,114.05831146240234,0.0;
1023.0,0.0,114.05831146240234,0.0;
1066.0,0.0,114.05831146240234,0.0;
1109.0,0.0,114.05831146240234,0.0;
1151.0,0.0,114.05831146240234,0.0;
1195.0,0.0,114.05831146240234,0.0;
1239.0,0.0,114.05831146240234,0.0;
1281.0,0.0,114.05831146240234,0.0;
1324.0,0.0,114.05831146240234,0.0;
1367.0,0.0,114.05831146240234,0.0;
1409.0,0.0,114.05831146240234,0.0;
1453.0,0.0,114.05831146240234,0.0;
1495.0,0.0,114.05831146240234,0.0;
1537.0,0.0,114.05831146240234,0.0;
1582.0,0.0,114.05831146240234,0.0;
1630.0,0.0,114.05831146240234,0.0;
1675.0,0.0,114.05831146240234,0.0;
1718.0,0.0,114.05831146240234,0.0;
1764.0,0.0,114.05831146240234,0.0;
1808.0,0.0,114.05831146240234,0.0;
1854.0,0.0,114.05831146240234,0.0;
1897.0,0.0,114.05831146240234,0.0;
1940.0,0.0,114.05831146240234,0.0;
1983.0,0.0,114.05831146240234,0.0;
2025.0,0.0,114.05831146240234,0.0;
2068.0,0.0,114.05831146240234,0.0;
2111.0,0.0,114.05831146240234,0.0;
2153.0,0.0,114.05831146240234,0.0;
2196.0,0.0,114.05831146240234,0.0;
2239.0,0.0,114.05831146240234,0.0;
2281.0,0.0,114.05831146240234,0.0;
2325.0,0.0,114.05831146240234,0.0;
2367.0,0.0,114.05831146240234,0.0;
2409.0,0.0,114.05831146240234,0.0;
2453.0,0.0,114.05831146240234,0.0;
2495.0,0.0,114.05831146240234,0.0;
2537.0,0.0,114.05831146240234,0.0;
2581.0,0.0,114.05831146240234,0.0;
2623.0,0.0,114.05831146240234,0.0;
2665.0,0.0,114.05831146240234,0.0;
2709.0,0.0,114.05831146240234,0.0;
2751.0,0.0,114.05831146240234,0.0;
2793.0,0.0,114.05831146240234,0.0;
2836.0,0.0,114.05831146240234,0.0;
2879.0,0.0,114.05831146240234,0.0;
2921.0,0.0,114.05831146240234,0.0;
2967.0,0.0,114.05831146240234,0.0;
3009.0,0.0,114.05831146240234,0.0;
3052.0,0.0,114.05831146240234,0.0;
3095.0,0.0,114.05831146240234,0.0;
3137.0,0.0,114.05831146240234,0.0;
3181.0,0.0,114.05831146240234,0.0;
3224.0,0.0,114.05831146240234,0.0;
3266.0,0.0,114.05831146240234,0.0;
3309.0,0.0,114.05831146240234,0.0;
3351.0,0.0,114.05831146240234,0.0;
3393.0,0.0,114.05831146240234,0.0;
3436.0,0.0,114.05831146240234,0.0;
3479.0,0.0,114.05831146240234,0.0;
3521.0,0.0,114.05831146240234,0.0;
3564.0,0.0,114.05831146240234,0.0;
3607.0,0.0,114.05831146240234,0.0;
3649.0,0.0,114.05831146240234,0.0;
3692.0,0.0,114.05831146240234,0.0;
3735.0,0.0,114.05831146240234,0.0;
3778.0,0.0,114.05831146240234,0.0;
3824.0,0.0,114.05831146240234,0.0;
3866.0,0.0,114.05831146240234,0.0;
3909.0,0.0,114.05831146240234,0.0;
3951.0,0.0,114.05831146240234,0.0;
3993.0,0.0,114.05831146240234,0.0;
4036.0,0.0,114.05831146240234,0.0;
4080.0,0.0,114.05831146240234,0.0;
4122.0,0.0,114.05831146240234,0.0;
4166.0,0.0,114.05831146240234,0.0;
4208.0,0.0,114.05831146240234,0.0;
4250.0,0.0,114.05831146240234,0.0;
4294.0,0.0,114.05831146240234,0.0;
4336.0,0.0,114.05831146240234,0.0;
4379.0,0.0,114.05831146240234,0.0;
4422.0,0.0,114.05831146240234,0.0;
4464.0,0.0,114.05831146240234,0.0;
4506.0,0.0,114.05831146240234,0.0;
4550.0,0.0,114.05831146240234,0.0;
4592.0,0.0,114.05831146240234,0.0;
4634.0,0.0,114.05831146240234,0.0;
4683.0,0.0,114.05831146240234,0.0;
4733.0,0.0,114.05831146240234,0.0;
4784.0,0.0,114.05831146240234,0.0;
4830.0,0.0,114.05831146240234,0.0;
4883.0,0.0,114.05831146240234,0.0;
4927.0,0.0,114.05831146240234,0.0;
4975.0,0.0,114.05831146240234,0.0;
5032.0,0.0,114.05831146240234,0.0;
5079.0,0.0,114.05831146240234,0.0;
5127.0,0.0,114.05831146240234,0.0;
5171.0,0.0,114.05831146240234,0.0;
5217.0,0.0,114.05831146240234,0.0;
5262.0,0.0,114.05831146240234,0.0;
5304.0,0.0,114.05831146240234,0.0;
5346.0,0.0,114.05831146240234,0.0;
5389.0,0.0,114.05831146240234,0.0;
5431.0,0.0,114.05831146240234,0.0;
