%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:35:13

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
2.0,0.0,113.88964080810547,0.0;
54.0,0.0,113.8896484375,0.007629395462572575;
103.0,0.0,113.8896484375,0.0;
151.0,0.0,113.8896484375,0.0;
195.0,0.0,113.8896484375,0.0;
238.0,0.0,113.8896484375,0.0;
284.0,0.0,113.8896484375,0.0;
327.0,0.0,113.8896484375,0.0;
369.0,0.0,113.8896484375,0.0;
412.0,0.0,113.8896484375,0.0;
456.0,0.0,113.8896484375,0.0;
498.0,0.0,113.8896484375,0.0;
543.0,0.0,113.8896484375,0.0;
586.0,0.0,113.8896484375,0.0;
629.0,0.0,113.8896484375,0.0;
673.0,0.0,113.8896484375,0.0;
715.0,0.0,113.8896484375,0.0;
758.0,0.0,113.8896484375,0.0;
803.0,0.0,113.8896484375,0.0;
847.0,0.0,113.8896484375,0.0;
889.0,0.0,113.8896484375,0.0;
933.0,0.0,113.8896484375,0.0;
975.0,0.0,113.8896484375,0.0;
1016.0,0.0,113.8896484375,0.0;
1057.0,0.0,113.8896484375,0.0;
1101.0,0.0,113.8896484375,0.0;
1144.0,0.0,113.8896484375,0.0;
1187.0,0.0,113.8896484375,0.0;
1231.0,0.0,113.8896484375,0.0;
1276.0,0.0,113.8896484375,0.0;
1317.0,0.0,113.8896484375,0.0;
1361.0,0.0,113.8896484375,0.0;
1402.0,0.0,113.8896484375,0.0;
1443.0,0.0,113.8896484375,0.0;
1483.0,0.0,113.8896484375,0.0;
1525.0,0.0,113.8896484375,0.0;
1566.0,0.0,113.8896484375,0.0;
1607.0,0.0,113.8896484375,0.0;
1647.0,0.0,113.8896484375,0.0;
1690.0,0.0,113.8896484375,0.0;
1731.0,0.0,113.8896484375,0.0;
1770.0,0.0,113.8896484375,0.0;
1809.0,0.0,113.8896484375,0.0;
1849.0,0.0,113.8896484375,0.0;
1893.0,0.0,113.8896484375,0.0;
1938.0,0.0,113.8896484375,0.0;
1977.0,0.0,113.8896484375,0.0;
2020.0,0.0,113.8896484375,0.0;
2075.0,0.0,113.8896484375,0.0;
2127.0,0.0,113.8896484375,0.0;
2178.0,0.0,113.8896484375,0.0;
2222.0,0.0,113.8896484375,0.0;
2273.0,0.0,113.8896484375,0.0;
2314.0,0.0,113.8896484375,0.0;
2354.0,0.0,113.8896484375,0.0;
2393.0,0.0,113.8896484375,0.0;
2434.0,0.0,113.8896484375,0.0;
2477.0,0.0,113.8896484375,0.0;
