%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:35:48

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
nan,nan,nan,nan;
11.0,0.0,113.91796112060547,0.0;
68.0,0.0,113.91796875,0.007629395462572575;
114.0,0.0,113.91796875,0.0;
158.0,0.0,113.91796875,0.0;
204.0,0.0,113.91796875,0.0;
246.0,0.0,113.91796875,0.0;
294.0,0.0,113.91796875,0.0;
339.0,0.0,113.91796875,0.0;
381.0,0.0,113.91796875,0.0;
424.0,0.0,113.91796875,0.0;
468.0,0.0,113.91796875,0.0;
510.0,0.0,113.91796875,0.0;
556.0,0.0,113.91796875,0.0;
600.0,0.0,113.91796875,0.0;
644.0,0.0,113.91796875,0.0;
688.0,0.0,113.91796875,0.0;
731.0,0.0,113.91796875,0.0;
773.0,0.0,113.91796875,0.0;
816.0,0.0,113.91796875,0.0;
860.0,0.0,113.91796875,0.0;
902.0,0.0,113.91796875,0.0;
946.0,0.0,113.91796875,0.0;
989.0,0.0,113.91796875,0.0;
1036.0,0.0,113.91796875,0.0;
1081.0,0.0,113.91796875,0.0;
1125.0,0.0,113.91796875,0.0;
1168.0,0.0,113.91796875,0.0;
1211.0,0.0,113.91796875,0.0;
1253.0,0.0,113.91796875,0.0;
1296.0,0.0,113.91796875,0.0;
1339.0,0.0,113.91796875,0.0;
1381.0,0.0,113.91796875,0.0;
1424.0,0.0,113.91796875,0.0;
1467.0,0.0,113.91796875,0.0;
1509.0,0.0,113.91796875,0.0;
1552.0,0.0,113.91796875,0.0;
1595.0,0.0,113.91796875,0.0;
1638.0,0.0,113.91796875,0.0;
1683.0,0.0,113.91796875,0.0;
1725.0,0.0,113.91796875,0.0;
1768.0,0.0,113.91796875,0.0;
1813.0,0.0,113.91796875,0.0;
1856.0,0.0,113.91796875,0.0;
1900.0,0.0,113.91796875,0.0;
1942.0,0.0,113.91796875,0.0;
1986.0,0.0,113.91796875,0.0;
2029.0,0.0,113.91796875,0.0;
2072.0,0.0,113.91796875,0.0;
2115.0,0.0,113.91796875,0.0;
2157.0,0.0,113.91796875,0.0;
2202.0,0.0,113.91796875,0.0;
2244.0,0.0,113.91796875,0.0;
2288.0,0.0,113.91796875,0.0;
2331.0,0.0,113.91796875,0.0;
2374.0,0.0,113.91796875,0.0;
2418.0,0.0,113.91796875,0.0;
2462.0,0.0,113.91796875,0.0;
2507.0,0.0,113.91796875,0.0;
2552.0,0.0,113.91796875,0.0;
2595.0,0.0,113.91796875,0.0;
2638.0,0.0,113.91796875,0.0;
2682.0,0.0,113.91796875,0.0;
2724.0,0.0,113.91796875,0.0;
2767.0,0.0,113.91796875,0.0;
2810.0,0.0,113.91796875,0.0;
2853.0,0.0,113.91796875,0.0;
2896.0,0.0,113.91796875,0.0;
2939.0,0.0,113.91796875,0.0;
2981.0,0.0,113.91796875,0.0;
3024.0,0.0,113.91796875,0.0;
3067.0,0.0,113.91796875,0.0;
3109.0,0.0,113.91796875,0.0;
3152.0,0.0,113.91796875,0.0;
3195.0,0.0,113.91796875,0.0;
3238.0,0.0,113.91796875,0.0;
3282.0,0.0,113.91796875,0.0;
3324.0,0.0,113.91796875,0.0;
3366.0,0.0,113.91796875,0.0;
3411.0,0.0,113.91796875,0.0;
3453.0,0.0,113.91796875,0.0;
3497.0,0.0,113.91796875,0.0;
3540.0,0.0,113.91796875,0.0;
3582.0,0.0,113.91796875,0.0;
3626.0,0.0,113.91796875,0.0;
3669.0,0.0,113.91796875,0.0;
3712.0,0.0,113.91796875,0.0;
3756.0,0.0,113.91796875,0.0;
3800.0,0.0,113.91796875,0.0;
3844.0,0.0,113.91796875,0.0;
3887.0,0.0,113.91796875,0.0;
3931.0,0.0,113.91796875,0.0;
3974.0,0.0,113.91796875,0.0;
4018.0,0.0,113.91796875,0.0;
4062.0,0.0,113.91796875,0.0;
4107.0,0.0,113.91796875,0.0;
4149.0,0.0,113.91796875,0.0;
4194.0,0.0,113.91796875,0.0;
4237.0,0.0,113.91796875,0.0;
4280.0,0.0,113.91796875,0.0;
4324.0,0.0,113.91796875,0.0;
4367.0,0.0,113.91796875,0.0;
4410.0,0.0,113.91796875,0.0;
4453.0,0.0,113.91796875,0.0;
4498.0,0.0,113.91796875,0.0;
4544.0,0.0,113.91796875,0.0;
4590.0,0.0,113.91796875,0.0;
4635.0,0.0,113.91796875,0.0;
4677.0,0.0,113.91796875,0.0;
4722.0,0.0,113.91796875,0.0;
4778.0,0.0,113.91796875,0.0;
4831.0,0.0,113.91796875,0.0;
4885.0,0.0,113.91796875,0.0;
4939.0,0.0,113.91796875,0.0;
4987.0,0.0,113.91796875,0.0;
5030.0,0.0,113.91796875,0.0;
5074.0,0.0,113.91796875,0.0;
5118.0,0.0,113.91796875,0.0;
5162.0,0.0,113.91796875,0.0;
5204.0,0.0,113.91796875,0.0;
5248.0,0.0,113.91796875,0.0;
5291.0,0.0,113.91796875,0.0;
5333.0,0.0,113.91796875,0.0;
5376.0,0.0,113.91796875,0.0;
5420.0,0.0,113.91796875,0.0;
